tariff,sex,premium,probability,age,smooth,raw,Exposure
(all),(all),prfrei,qx,21,3.0653252108394865e-4,3.247811796335913e-4,46177.44217221135
(all),(all),prfrei,qx,22,3.2672417943342593e-4,3.879847988959638e-4,56692.25245371067
(all),(all),prfrei,qx,23,3.397495298126828e-4,4.793781736701383e-4,68822.67919614632
(all),(all),prfrei,qx,24,3.4483371446556766e-4,3.694011330860661e-4,81197.52836820713
(all),(all),prfrei,qx,25,3.4392479054302374e-4,3.307941727769303e-4,93698.36363841638
(all),(all),prfrei,qx,26,3.398548329400797e-4,3.999756801379694e-4,104985.38435194943
(all),(all),prfrei,qx,27,3.3516048206383095e-4,2.93236978568467e-4,115930.1774875809
(all),(all),prfrei,qx,28,3.3378319137301107e-4,2.7833213311746286e-4,125731.54524311305
(all),(all),prfrei,qx,29,3.3827268625821717e-4,2.994012824824865e-4,133579.9621255457
(all),(all),prfrei,qx,30,3.494359729105437e-4,3.046724895222888e-4,141113.65817401776
(all),(all),prfrei,qx,31,3.669405537497068e-4,3.383987226789486e-4,147729.69482914347
(all),(all),prfrei,qx,32,3.88644269411709e-4,4.3384926221234893e-4,152093.56963721212
(all),(all),prfrei,qx,33,4.106392161183642e-4,4.8661575933820796e-4,154088.2112223393
(all),(all),prfrei,qx,34,4.300024906512451e-4,4.6778309925097575e-4,156018.73183049826
(all),(all),prfrei,qx,35,4.464241980649564e-4,4.844325336100148e-4,156846.5912012645
(all),(all),prfrei,qx,36,4.612834915803617e-4,4.974320382547726e-4,156766.34023031764
(all),(all),prfrei,qx,37,4.778426711751282e-4,4.6646849912309186e-4,158601.7937001355
(all),(all),prfrei,qx,38,5.014348626102141e-4,4.4291998629736713e-4,162521.57750263435
(all),(all),prfrei,qx,39,5.380620192064606e-4,3.809390971719886e-4,165349.26681469215
(all),(all),prfrei,qx,40,5.927767038138499e-4,5.907771406350367e-4,169218.56698027998
(all),(all),prfrei,qx,41,6.63080858142487e-4,6.550187329777057e-4,173983.823965076
(all),(all),prfrei,qx,42,7.44677378866306e-4,9.976606743155724e-4,178328.3763510462
(all),(all),prfrei,qx,43,8.297757098155827e-4,8.473510723488991e-4,184025.1481409002
(all),(all),prfrei,qx,44,9.192129710820661e-4,9.428829357722511e-4,189753.7914722264
(all),(all),prfrei,qx,45,0.0010154316784364045,9.34403687998943e-4,192546.22598223694
